,Headlines,Article,Published_Dates,Source_URLs
75,Birders spot 122 species of birds at annual Manipal Bird Day,,2021-02-22,https://timesofindia.indiatimes.com/city/mangaluru/birders-spot-122-species-of-birds-at-annual-manipal-bird-day/articleshow/80785015.cms
76,Delhi HC picks nodal officer to sort out safai staff’s woes,,2021-02-22,https://timesofindia.indiatimes.com/city/delhi/hc-picks-nodal-officer-to-sort-out-safai-staffs-woes/articleshow/80776235.cms
77,Sanitation worker dies of asphyxiation,,2021-02-22,https://timesofindia.indiatimes.com/city/rajkot/sanitation-worker-dies-of-asphyxiation/articleshow/78194040.cms
78,"Kolkata: From today, schools to tell kids, parents of campus dos and don’ts",,2021-02-22,https://timesofindia.indiatimes.com/city/kolkata/from-today-schools-to-tell-kids-parents-of-campus-dos-and-donts/articleshow/80756365.cms
79,Sanitation staff crunch hits road cleanliness,,2021-02-22,https://timesofindia.indiatimes.com/city/jaipur/sanitation-staff-crunch-hits-road-cleanliness/articleshow/79829505.cms
80,Sanitation worker at NMC hospital detained,,2020-09-10,https://timesofindia.indiatimes.com/city/nashik/sanitation-worker-at-nmc-hosp-detained/articleshow/78024537.cms
81,"Gurugram: Hire sanitation workers based on area population, officials told",,2020-09-10,https://timesofindia.indiatimes.com/city/gurgaon/hire-sanitation-workers-based-on-area-population-officials-told/articleshow/80729071.cms
82,Osmania University issues notice to reopen hostels from February 16,,2020-09-10,https://timesofindia.indiatimes.com/city/hyderabad/ou-issues-notice-to-reopen-hostels-from-february-16/articleshow/80728707.cms
83,JMC Heritage to allot sanitation workers to each colony,,2020-09-10,https://timesofindia.indiatimes.com/city/jaipur/jmc-heritage-to-allot-sanitation-workers-to-each-colony/articleshow/79785205.cms
84,No masks + No physical distancing + No sanitizers = Spike in Covid-19 cases,,2020-09-10,https://timesofindia.indiatimes.com/city/nagpur/no-masks-no-physical-distancing-no-sanitizers-spike-in-covid-19-cases/articleshow/81117078.cms
85,East Delhi Municipal Corporation to regularise all safai staff till 2006,,2020-09-10,https://timesofindia.indiatimes.com/city/delhi/edmc-to-regularise-all-safai-staff-till-2006/articleshow/80638594.cms
86,"Instead of polio drops, 12 kids given sanitizer in Maharashtra",,2020-09-10,https://timesofindia.indiatimes.com/city/nagpur/12-ytl-kids-given-sanitizer-instead-of-polio-drops/articleshow/80640505.cms
87,"Safai staff is back, clean-up resumes in Delhi",,2020-09-10,https://timesofindia.indiatimes.com/city/delhi/safai-staff-is-back-clean-up-resumes/articleshow/80619388.cms
88,"It’s a film that upholds our right to education, dignity and sanitation",,2020-09-10,https://timesofindia.indiatimes.com/web-series/news/its-a-film-that-upholds-our-right-to-education-dignity-and-sanitation/articleshow/81084901.cms
89,"Manesar corporation seeks government nod for nearly 1,500 posts",,2020-09-10,https://timesofindia.indiatimes.com/city/gurgaon/manesar-corporation-seeks-government-nod-for-nearly-1500-posts/articleshow/80607796.cms
90,"Delhi: Demands met, most safai staff relent",,2020-09-10,https://timesofindia.indiatimes.com/city/delhi/demands-met-most-safai-staff-relent/articleshow/80606977.cms
91,HC to close for three days for sanitization of campus,,2020-09-10,https://timesofindia.indiatimes.com/city/ahmedabad/hc-to-close-for-three-days-for-sanitization-of-campus/articleshow/79669504.cms
92,"Sanitisation of premises will take time, business to start on Tuesday",,2020-09-10,https://timesofindia.indiatimes.com/city/ranchi/sanitisation-of-premises-will-take-time-business-to-start-on-tuesday/articleshow/77828575.cms
93,"Maharashtra: Mask, sanitizer sales plunge as people throw caution to the wind",,2020-09-10,https://timesofindia.indiatimes.com/city/pune/mask-sanitizer-sales-plunge-as-people-throw-caution-to-the-wind/articleshow/81011724.cms
94,'Access to bare necessities has improved in all states',,2020-09-10,https://timesofindia.indiatimes.com/business/india-business/access-to-bare-necessities-has-improved-in-all-states/articleshow/80595190.cms
95,"Avian flu cases, bird deaths on steady decline across state",,2020-09-10,https://timesofindia.indiatimes.com/city/mumbai/avian-flu-cases-bird-deaths-on-steady-decline-across-state/articleshow/80593485.cms
96,"After New York subway, Lucknow Metro becomes second to use UV lamps to sanitize train coaches",,2020-09-10,https://timesofindia.indiatimes.com/city/lucknow/after-new-york-subway-lucknow-metro-becomes-second-to-use-uv-lamps-to-sanitize-train-coaches/articleshow/80588588.cms
97,Tag JMC mayor on Twitter for sanitation complaints,,2020-09-10,https://timesofindia.indiatimes.com/city/jaipur/tag-jmc-mayor-on-twitter-for-sanitation-complaints/articleshow/79632408.cms
98,"Miffed with non-payment of salaries, sanitation staff goes on strike in Piran Kaliyar",,2020-09-10,https://timesofindia.indiatimes.com/city/dehradun/miffed-with-non-payment-of-salaries-sanitation-staff-goes-on-strike-in-piran-kaliyar/articleshow/80913272.cms
99,North Delhi Municipal Corporation has promises to keep as stink rises,,2020-09-10,https://timesofindia.indiatimes.com/city/delhi/n-corpn-has-promises-to-keep-as-stink-rises/articleshow/80527593.cms
100,Frontline workers serving the Republic during pandemic: Delhi CM,,2021-01-27,https://timesofindia.indiatimes.com/city/delhi/frontline-workers-serving-the-republic-during-pandemic-cm/articleshow/80471133.cms
101,Park trysts and sanitizer gifts: Dating goes off-screen again,,2021-01-27,https://timesofindia.indiatimes.com/india/park-trysts-and-sanitizer-gifts-dating-goes-off-screen-again/articleshow/80893111.cms
102,Delhi: No end in sight to civic staff strike as talks fail,,2021-01-27,https://timesofindia.indiatimes.com/city/delhi/no-end-in-sight-to-civic-staff-strike-as-talks-fail/articleshow/80456380.cms
103,"AAP, BJP continue to spar over corporations",,2021-01-27,https://timesofindia.indiatimes.com/city/delhi/aap-bjp-continue-to-spar-over-corpns/articleshow/80456445.cms
104,UP couple name their son Sanitizer as Covid-19 triggers naming spree,,2021-01-27,https://timesofindia.indiatimes.com/city/meerut/up-couple-name-their-son-sanitizer-as-covid-19-triggers-naming-spree/articleshow/75130264.cms
105,Dirty hands stain hand-rubs,,2021-01-27,https://timesofindia.indiatimes.com/city/ahmedabad/dirty-hands-stain-hand-rubs/articleshow/77697737.cms
106,"Mystery ailment spreads to AP's Bhimadole, three more cases surface",,2021-01-27,https://timesofindia.indiatimes.com/city/visakhapatnam/mystery-ailment-spreads-to-aps-bhimadole-three-more-cases-surface/articleshow/80429729.cms
107,Tamil Nadu: Man dies after drinking hand sanitizer,,2021-01-27,https://timesofindia.indiatimes.com/city/coimbatore/man-dies-after-drinking-hand-sanitizer/articleshow/75102189.cms
108,"Delhi: Salary stir enters 17th day, garbage piles up in areas",,2021-01-27,https://timesofindia.indiatimes.com/city/delhi/salary-stir-enters-17th-day-garbage-piles-up-in-areas/articleshow/80428956.cms
109,North Delhi Municipal Corporation announces release of salaries a day after staff protest,,2021-01-27,https://timesofindia.indiatimes.com/city/delhi/n-corpn-announces-release-of-salaries-a-day-after-staff-protest/articleshow/80413217.cms
110,Bihar: Registration begins for 2nd phase of vaccination,,2021-01-27,https://timesofindia.indiatimes.com/city/patna/registration-begins-for-2nd-phase-of-vaccination/articleshow/80392091.cms
111,"GHMC deploys sanitation, Asha workers for poll duty",,2021-01-27,https://timesofindia.indiatimes.com/city/hyderabad/ghmc-deploys-sanitation-asha-workers-for-poll-duty/articleshow/79500194.cms
112,"Dhanbad sanitation workers oppose retrenchment, threaten to hit streets",,2021-01-27,https://timesofindia.indiatimes.com/city/ranchi/dhanbad-sanitation-workers-oppose-retrenchment-threaten-to-hit-streets/articleshow/77581135.cms
113,"FDCA raids unit illegally making sanitizer, seizes items worth Rs 34 lakh in Ahmedabad",,2021-01-27,https://timesofindia.indiatimes.com/city/ahmedabad/fdca-raids-unit-illegally-making-sanitizer-seizes-items-worth-rs-34l/articleshow/77552584.cms
114,Hand sanitiser apps are a reality and you should not take them seriously,,2021-01-27,https://timesofindia.indiatimes.com/gadgets-news/hand-sanitiser-apps-are-a-reality-and-you-should-not-take-them-seriously/articleshow/77550578.cms
115,THIS is how you should apply hand sanitizer to kill 99.9 per cent of germs,,2021-01-27,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/this-is-how-you-should-apply-hand-sanitizer-to-kill-99-9-per-cent-of-germs/articleshow/74391902.cms
116,FDCA nod to 134 Gujarat companies to make hand sanitizer,,2021-01-27,https://timesofindia.indiatimes.com/city/ahmedabad/fdca-nod-to-134-companies-to-make-hand-sanitizer/articleshow/77533422.cms
117,"Regularise sanitation staff, Telangana HC tells municipal corporation",,2021-01-27,https://timesofindia.indiatimes.com/city/hyderabad/regularise-sanitation-staff-hc-tells-municipal-corpn/articleshow/77513586.cms
118,Gurugram: From 37th to 1st on vaccine list,,2021-01-27,https://timesofindia.indiatimes.com/city/gurgaon/from-37th-to-1st-on-vaccine-list/articleshow/80308775.cms
119,Andhra Pradesh govt mulls slashing additional retail tax to relieve tipplers,,2021-01-27,https://timesofindia.indiatimes.com/city/visakhapatnam/govt-mulls-slashing-art-to-relieve-tipplers/articleshow/77496139.cms
120,Andhra Pradesh govt mulls slashing additional retail tax to relieve tipplers,,2020-08-12,https://timesofindia.indiatimes.com/city/amaravati/govt-mulls-slashing-art-to-relieve-tipplers/articleshow/77496142.cms
121,Andhra Pradesh govt mulls slashing additional retail tax to relieve tipplers,,2020-08-12,https://timesofindia.indiatimes.com/city/vijayawada/govt-mulls-slashing-art-to-relieve-tipplers/articleshow/77491404.cms
122,"‘Don’t go for the 1st round, my kids said’",,2020-08-12,https://timesofindia.indiatimes.com/india/dont-go-for-the-1st-round-my-kids-said/articleshow/80309208.cms
123,"After initial apprehensions, opening day ends with 95% turnout in Ghaziabad, 1/3rd stay away in Noida",,2020-08-12,https://timesofindia.indiatimes.com/city/noida/after-initial-apprehensions-about-vaccines-opening-day-ends-with-95-turnout-in-ghaziabad-1/3rd-stay-away-in-noida/articleshow/80308805.cms
124,"Cold feet, illness among reasons behind no-shows",,2020-08-12,https://timesofindia.indiatimes.com/city/goa/cold-feet-illness-among-reasons-behind-no-shows/articleshow/80308524.cms
